,input,output,original
275,shehadsomeamazingnewstosharebutnobodytoshareitwith,"['she', 'had', 'some', 'amazing', 'news', 'to', 'share', 'but', 'nobody', 'to', 'share', 'it', 'with']",she had some amazing news to share but nobody to share it with
276,theywereexcitedtoseetheirfirstsloth,"['they', 'were', 'excited', 'to', 'see', 'their', 'first', 'sloth']",they were excited to see their first sloth
277,dorisenjoyedtappinghernailsonthetabletoannoyeveryone,"['doris', 'enjoyed', 'tapping', 'her', 'nails', 'on', 'the', 'table', 'to', 'annoy', 'everyone']",doris enjoyed tapping her nails on the table to annoy everyone
278,letmehelpyouwithyourbaggage,"['let', 'me', 'help', 'you', 'with', 'your', 'baggage']",let me help you with your baggage
279,erinaccidentallycreatedanewuniverse,"['erin', 'accidentally', 'created', 'a', 'new', 'universe']",erin accidentally created a new universe
280,apurplepigandagreendonkeyflewakiteinthemiddleofthenightandendedupsunburnt,"['a', 'purple', 'pig', 'and', 'a', 'green', 'donkey', 'flew', 'a', 'kite', 'in', 'the', 'middle', 'of', 'the', 'night', 'and', 'ended', 'up', 'sunburnt']",a purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt
281,hehatedthathelovedwhatshehatedabouthate,"['he', 'hated', 'that', 'he', 'loved', 'what', 'she', 'hated', 'about', 'hate']",he hated that he loved what she hated about hate
282,asongcanmakeorruinapersonsdayiftheyletitgettothem,"['a', 'song', 'can', 'make', 'or', 'ruin', 'a', 'persons', 'day', 'if', 'they', 'let', 'it', 'get', 'to', 'them']",a song can make or ruin a persons day if they let it get to them
283,itwasaslipperyslopeandhewaswillingtoslideallthewaytothedeepestdepths,"['it', 'was', 'a', 'slippery', 'slope', 'and', 'he', 'was', 'willing', 'to', 'slide', 'all', 'the', 'way', 'to', 'the', 'deepest', 'depths']",it was a slippery slope and he was willing to slide all the way to the deepest depths
284,theviewfromthelighthouseexcitedeventhemostseasonedtraveler,"['the', 'view', 'from', 'the', 'lighthouse', 'excited', 'even', 'the', 'most', 'seasoned', 'traveler']",the view from the lighthouse excited even the most seasoned traveler
285,thewhitewaterraftingtripwassuddenlyhaltedbytheunexpectedbrickwall,"['the', 'white', 'water', 'rafting', 'trip', 'was', 'suddenly', 'halted', 'by', 'the', 'unexpected', 'brick', 'wall']",the white water rafting trip was suddenly halted by the unexpected brick wall
286,heappearedtobeconfusinglyperplexed,"['he', 'appeared', 'to', 'be', 'confusingly', 'perplexed']",he appeared to be confusingly perplexed
287,hewentbacktothevideotoseewhathadbeenrecordedandwasshockedatwhathesaw,"['he', 'went', 'back', 'to', 'the', 'video', 'to', 'see', 'what', 'had', 'been', 'recorded', 'and', 'was', 'shocked', 'at', 'what', 'he', 'saw']",he went back to the video to see what had been recorded and was shocked at what he saw
288,chocolatecoveredcricketswerehisfavoritesnack,"['chocolate', 'covered', 'crickets', 'were', 'his', 'favorite', 'snack']",chocolate covered crickets were his favorite snack
289,nancywasproudthatsheranatightshipwreck,"['nancy', 'was', 'proud', 'that', 'she', 'ran', 'a', 'tight', 'shipwreck']",nancy was proud that she ran a tight shipwreck
290,sheborrowedthebookfromhimmanyyearsagoandhasntyetreturnedit,"['she', 'borrowed', 'the', 'book', 'from', 'him', 'many', 'years', 'ago', 'and', 'hasnt', 'yet', 'returned', 'it']",she borrowed the book from him many years ago and hasnt yet returned it
291,thegruffoldmansatinthebackofthebaitshopgrumblingtohimselfashescoopedoutahandfulofworms,"['the', 'gruff', 'old', 'man', 'sat', 'in', 'the', 'back', 'of', 'the', 'bait', 'shop', 'grumbling', 'to', 'himself', 'as', 'he', 'scooped', 'out', 'a', 'handful', 'of', 'worms']",the gruff old man sat in the back of the bait shop grumbling to himself as he scooped out a handful of worms
292,gettingupatdawnisforthebirds,"['getting', 'up', 'at', 'dawn', 'is', 'for', 'the', 'birds']",getting up at dawn is for the birds
293,poisonivygrewthroughthefencetheysaidwasimpenetrable,"['poison', 'ivy', 'grew', 'through', 'the', 'fence', 'they', 'said', 'was', 'impenetrable']",poison ivy grew through the fence they said was impenetrable
294,thepigswereinsultedthattheywerenamedhamburgers,"['the', 'pigs', 'were', 'insulted', 'that', 'they', 'were', 'named', 'hamburgers']",the pigs were insulted that they were named hamburgers
295,sheopenedupherthirdbottleofwineofthenight,"['she', 'opened', 'up', 'her', 'third', 'bottle', 'of', 'wine', 'of', 'the', 'night']",she opened up her third bottle of wine of the night
296,hewaswillingtofindthedepthsoftherabbitholeinordertobewithher,"['he', 'was', 'willing', 'to', 'find', 'the', 'depths', 'of', 'the', 'rabbit', 'hole', 'in', 'order', 'to', 'be', 'with', 'her']",he was willing to find the depths of the rabbit hole in order to be with her
297,akangarooisreallyjustarabbitonsteroids,"['a', 'kangaroo', 'is', 'really', 'just', 'a', 'rabbit', 'on', 'steroids']",a kangaroo is really just a rabbit on steroids
298,dorisenjoyedtappinghernailsonthetabletoannoyeveryone,"['doris', 'enjoyed', 'tapping', 'her', 'nails', 'on', 'the', 'table', 'to', 'annoy', 'everyone']",doris enjoyed tapping her nails on the table to annoy everyone
299,therewascoalinhisstockingandhewasthrilled,"['there', 'was', 'coal', 'in', 'his', 'stocking', 'and', 'he', 'was', 'thrilled']",there was coal in his stocking and he was thrilled
300,jennymadetheannouncementthatherbabywasanalien,"['jenny', 'made', 'the', 'announcement', 'that', 'her', 'baby', 'was', 'an', 'alien']",jenny made the announcement that her baby was an alien
301,hewassurethedevilcreatedredsparklyglitter,"['he', 'was', 'sure', 'the', 'devil', 'created', 'red', 'sparkly', 'glitter']",he was sure the devil created red sparkly glitter
302,healwaysworehissunglassesatnight,"['he', 'always', 'wore', 'his', 'sunglasses', 'at', 'night']",he always wore his sunglasses at night
303,hedidntheedthewarningandithadturnedoutsurprisinglywell,"['he', 'didnt', 'heed', 'the', 'warning', 'and', 'it', 'had', 'turned', 'out', 'surprisingly', 'well']",he didnt heed the warning and it had turned out surprisingly well
304,weatherisnottrivialitsespeciallyimportantwhenyourestandinginit,"['weather', 'is', 'not', 'trivial', 'its', 'especially', 'important', 'when', 'youre', 'standing', 'in', 'it']",weather is not trivial   its especially important when youre standing in it
305,iguanaswerefallingoutofthetrees,"['iguanas', 'were', 'falling', 'out', 'of', 'the', 'trees']",iguanas were falling out of the trees
306,thetricktogettingkidstoeatanythingistoputcatchuponit,"['the', 'trick', 'to', 'getting', 'kids', 'to', 'eat', 'anything', 'is', 'to', 'put', 'catchup', 'on', 'it']",the trick to getting kids to eat anything is to put catchup on it
307,iwasveryproudofmynicknamethroughouthighschoolbuttodayicouldntbeanydifferenttowhatmynicknamewas,"['i', 'was', 'very', 'proud', 'of', 'my', 'nickname', 'throughout', 'high', 'school', 'but', 'today', 'i', 'couldnt', 'be', 'any', 'different', 'to', 'what', 'my', 'nickname', 'was']",i was very proud of my nickname throughout high school but today  i couldnt be any different to what my nickname was
308,charlesatethefrenchfriesknowingtheywouldbehislastmeal,"['charles', 'ate', 'the', 'french', 'fries', 'knowing', 'they', 'would', 'be', 'his', 'last', 'meal']",charles ate the french fries knowing they would be his last meal
309,shefinallyunderstoodthatgriefwasherlovewithnoplaceforittogo,"['she', 'finally', 'understood', 'that', 'grief', 'was', 'her', 'love', 'with', 'no', 'place', 'for', 'it', 'to', 'go']",she finally understood that grief was her love with no place for it to go
310,hewaitedforthestopsigntoturntoagosign,"['he', 'waited', 'for', 'the', 'stop', 'sign', 'to', 'turn', 'to', 'a', 'go', 'sign']",he waited for the stop sign to turn to a go sign
311,weshouldplaywithlegosatcamp,"['we', 'should', 'play', 'with', 'legos', 'at', 'camp']",we should play with legos at camp
312,whileonthefirstdateheaccidentallyhithisheadonthebeam,"['while', 'on', 'the', 'first', 'date', 'he', 'accidentally', 'hit', 'his', 'head', 'on', 'the', 'beam']",while on the first date he accidentally hit his head on the beam
313,hehatedthathelovedwhatshehatedabouthate,"['he', 'hated', 'that', 'he', 'loved', 'what', 'she', 'hated', 'about', 'hate']",he hated that he loved what she hated about hate
314,billranfromthegiraffetowardthedolphin,"['bill', 'ran', 'from', 'the', 'giraffe', 'toward', 'the', 'dolphin']",bill ran from the giraffe toward the dolphin
315,danatethecloudslikecottoncandy,"['dan', 'ate', 'the', 'clouds', 'like', 'cotton', 'candy']",dan ate the clouds like cotton candy
316,myunclesfavoritepastimewasbuildingcarsoutofnoodles,"['my', 'uncles', 'favorite', 'pastime', 'was', 'building', 'cars', 'out', 'of', 'noodles']",my uncles favorite pastime was building cars out of noodles
317,thebookisinfrontofthetable,"['the', 'book', 'is', 'in', 'front', 'of', 'the', 'table']",the book is in front of the table
318,itdidntmakesenseunlessyouhadthepowertoeatcolors,"['it', 'didnt', 'make', 'sense', 'unless', 'you', 'had', 'the', 'power', 'to', 'eat', 'colors']",it didnt make sense unless you had the power to eat colors
319,tuesdaysarefreeifyoubringagnomecostume,"['tuesdays', 'are', 'free', 'if', 'you', 'bring', 'a', 'gnome', 'costume']",tuesdays are free if you bring a gnome costume
320,sometimesyouhavetojustgiveupandwinbycheating,"['sometimes', 'you', 'have', 'to', 'just', 'give', 'up', 'and', 'win', 'by', 'cheating']",sometimes you have to just give up and win by cheating
321,theminuteshelandedsheunderstoodthereasonthiswasaflyoverstate,"['the', 'minute', 'she', 'landed', 'she', 'understood', 'the', 'reason', 'this', 'was', 'a', 'fly', 'over', 'state']",the minute she landed she understood the reason this was a fly over state
322,shedidherbesttohelphim,"['she', 'did', 'her', 'best', 'to', 'help', 'him']",she did her best to help him
323,atthatmomentsherealizedshehadasixthsense,"['at', 'that', 'moment', 'she', 'realized', 'she', 'had', 'a', 'sixth', 'sense']",at that moment she realized she had a sixth sense
324,shehadadifficulttimeowninguptoherowncrazyself,"['she', 'had', 'a', 'difficult', 'time', 'owning', 'up', 'to', 'her', 'own', 'crazy', 'self']",she had a difficult time owning up to her own crazy self
325,beachcombingreplacedwinetastingashisnewobsession,"['beach', 'combing', 'replaced', 'wine', 'tasting', 'as', 'his', 'new', 'obsession']",beach combing replaced wine tasting as his new obsession
326,thekniveswereoutandshewassharpeninghers,"['the', 'knives', 'were', 'out', 'and', 'she', 'was', 'sharpening', 'hers']",the knives were out and she was sharpening hers
327,ittookhimamonthtofinishthemeal,"['it', 'took', 'him', 'a', 'month', 'to', 'finish', 'the', 'meal']",it took him a month to finish the meal
328,standingononesheadatjobinterviewsformsalastingimpression,"['standing', 'on', 'ones', 'head', 'at', 'job', 'interviews', 'forms', 'a', 'lasting', 'impression']",standing on ones head at job interviews forms a lasting impression
329,heplayedthegameasifhislifedependedonitandthetruthwasthatitdid,"['he', 'played', 'the', 'game', 'as', 'if', 'his', 'life', 'depended', 'on', 'it', 'and', 'the', 'truth', 'was', 'that', 'it', 'did']",he played the game as if his life depended on it and the truth was that it did
330,todayidressedmyunicorninpreparationfortherace,"['today', 'i', 'dressed', 'my', 'unicorn', 'in', 'preparation', 'for', 'the', 'race']",today i dressed my unicorn in preparation for the race
331,hewasntbitterthatshehadmovedonbutfromtheradish,"['he', 'wasnt', 'bitter', 'that', 'she', 'had', 'moved', 'on', 'but', 'from', 'the', 'radish']",he wasnt bitter that she had moved on but from the radish
332,sheopenedupherthirdbottleofwineofthenight,"['she', 'opened', 'up', 'her', 'third', 'bottle', 'of', 'wine', 'of', 'the', 'night']",she opened up her third bottle of wine of the night
333,rockmusicapproachesathighvelocity,"['rock', 'music', 'approaches', 'at', 'high', 'velocity']",rock music approaches at high velocity
334,thesharkinfestedsouthpinechannelwastheonlywayinorout,"['the', 'shark', 'infested', 'south', 'pine', 'channel', 'was', 'the', 'only', 'way', 'in', 'or', 'out']",the shark infested south pine channel was the only way in or out
335,thefishlistenedintentlytowhatthefrogshadtosay,"['the', 'fish', 'listened', 'intently', 'to', 'what', 'the', 'frogs', 'had', 'to', 'say']",the fish listened intently to what the frogs had to say
336,billranfromthegiraffetowardthedolphin,"['bill', 'ran', 'from', 'the', 'giraffe', 'toward', 'the', 'dolphin']",bill ran from the giraffe toward the dolphin
337,therewascoalinhisstockingandhewasthrilled,"['there', 'was', 'coal', 'in', 'his', 'stocking', 'and', 'he', 'was', 'thrilled']",there was coal in his stocking and he was thrilled
338,shakespearewasafamousthcenturydieselmechanic,"['shakespeare', 'was', 'a', 'famous', 'th', 'century', 'diesel', 'mechanic']",shakespeare was a famous th century diesel mechanic
339,themurderhornetwasdisappointedbythepreconceivedideaspeoplehadofhim,"['the', 'murder', 'hornet', 'was', 'disappointed', 'by', 'the', 'preconceived', 'ideas', 'people', 'had', 'of', 'him']",the murder hornet was disappointed by the preconceived ideas people had of him
340,grapejellywasleakingouttheholeintheroof,"['grape', 'jelly', 'was', 'leaking', 'out', 'the', 'hole', 'in', 'the', 'roof']",grape jelly was leaking out the hole in the roof
341,danatethecloudslikecottoncandy,"['dan', 'ate', 'the', 'clouds', 'like', 'cotton', 'candy']",dan ate the clouds like cotton candy
342,thefogwassodenseevenalaserdecideditwasntworththeeffort,"['the', 'fog', 'was', 'so', 'dense', 'even', 'a', 'laser', 'decided', 'it', 'wasnt', 'worth', 'the', 'effort']",the fog was so dense even a laser decided it wasnt worth the effort
343,itwasatthatmomentthathelearnedtherearecertainpartsofthebodythatyoushouldnevernair,"['it', 'was', 'at', 'that', 'moment', 'that', 'he', 'learned', 'there', 'are', 'certain', 'parts', 'of', 'the', 'body', 'that', 'you', 'should', 'never', 'nair']",it was at that moment that he learned there are certain parts of the body that you should never nair
344,hefeltthatdiningonthebridgebroughtromancetohisrelationshipwithhiscat,"['he', 'felt', 'that', 'dining', 'on', 'the', 'bridge', 'brought', 'romance', 'to', 'his', 'relationship', 'with', 'his', 'cat']",he felt that dining on the bridge brought romance to his relationship with his cat
345,therearenoheroesinapunkrockband,"['there', 'are', 'no', 'heroes', 'in', 'a', 'punk', 'rock', 'band']",there are no heroes in a punk rock band
346,ifyouliketunaandtomatosaucetrycombiningthetwoitsreallynotasbadasitsounds,"['if', 'you', 'like', 'tuna', 'and', 'tomato', 'sauce', 'try', 'combining', 'the', 'two', 'its', 'really', 'not', 'as', 'bad', 'as', 'it', 'sounds']",if you like tuna and tomato sauce  try combining the two its really not as bad as it sounds
347,thesuddenrainstormwashedcrocodilesintotheocean,"['the', 'sudden', 'rainstorm', 'washed', 'crocodiles', 'into', 'the', 'ocean']",the sudden rainstorm washed crocodiles into the ocean
348,shefoldedherhandkerchiefneatly,"['she', 'folded', 'her', 'handkerchief', 'neatly']",she folded her handkerchief neatly
349,hefoundtheendoftherainbowandwassurprisedatwhathefoundthere,"['he', 'found', 'the', 'end', 'of', 'the', 'rainbow', 'and', 'was', 'surprised', 'at', 'what', 'he', 'found', 'there']",he found the end of the rainbow and was surprised at what he found there
350,pairyourdesignercowboyhatwithscubagearforamemorableoccasion,"['pair', 'your', 'designer', 'cowboy', 'hat', 'with', 'scuba', 'gear', 'for', 'a', 'memorable', 'occasion']",pair your designer cowboy hat with scuba gear for a memorable occasion
351,hewasanintrovertthatextrovertsseemedtolove,"['he', 'was', 'an', 'introvert', 'that', 'extroverts', 'seemed', 'to', 'love']",he was an introvert that extroverts seemed to love
352,apurplepigandagreendonkeyflewakiteinthemiddleofthenightandendedupsunburnt,"['a', 'purple', 'pig', 'and', 'a', 'green', 'donkey', 'flew', 'a', 'kite', 'in', 'the', 'middle', 'of', 'the', 'night', 'and', 'ended', 'up', 'sunburnt']",a purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt
353,heusesonomatopoeiaasaweaponofmentaldestruction,"['he', 'uses', 'onomatopoeia', 'as', 'a', 'weapon', 'of', 'mental', 'destruction']",he uses onomatopoeia as a weapon of mental destruction
354,notallpeoplewhowanderarelost,"['not', 'all', 'people', 'who', 'wander', 'are', 'lost']",not all people who wander are lost
355,jeannewishedshehaschosentheredbutton,"['jeanne', 'wished', 'she', 'has', 'chosen', 'the', 'red', 'button']",jeanne wished she has chosen the red button
356,twoseatswerevacant,"['two', 'seats', 'were', 'vacant']",two seats were vacant
357,hehadaccidentallyhackedintohiscompanysserver,"['he', 'had', 'accidentally', 'hacked', 'into', 'his', 'companys', 'server']",he had accidentally hacked into his companys server
358,sometimesitisbettertojustwalkawayfromthingsandgobacktothemlaterwhenyoureinabetterframeofmind,"['sometimes', 'it', 'is', 'better', 'to', 'just', 'walk', 'away', 'from', 'things', 'and', 'go', 'back', 'to', 'them', 'later', 'when', 'youre', 'in', 'a', 'better', 'frame', 'of', 'mind']",sometimes it is better to just walk away from things and go back to them later when youre in a better frame of mind
359,shewastoobusyalwaystalkingaboutwhatshewantedtodotoactuallydoanyofit,"['she', 'was', 'too', 'busy', 'always', 'talking', 'about', 'what', 'she', 'wanted', 'to', 'do', 'to', 'actually', 'do', 'any', 'of', 'it']",she was too busy always talking about what she wanted to do to actually do any of it
360,davidsubscribestothestuffyourtentintothebagstrategyovernicelyfoldingit,"['david', 'subscribes', 'to', 'the', 'stuff', 'your', 'tent', 'into', 'the', 'bag', 'strategy', 'over', 'nicely', 'folding', 'it']",david subscribes to the stuff your tent into the bag strategy over nicely folding it
361,theneardeathexperiencebroughtnewideastolight,"['the', 'near', 'death', 'experience', 'brought', 'new', 'ideas', 'to', 'light']",the near death experience brought new ideas to light
362,everymanagershouldbeabletoreciteatleasttennurseryrhymesbackward,"['every', 'manager', 'should', 'be', 'able', 'to', 'recite', 'at', 'least', 'ten', 'nursery', 'rhymes', 'backward']",every manager should be able to recite at least ten nursery rhymes backward
363,imworkingonasweetpotatofarm,"['im', 'working', 'on', 'a', 'sweet', 'potato', 'farm']",im working on a sweet potato farm
